amount_paid,case_no,citation,citation_no,citation_status,contract_id,current_penalty,date_issues,date_terminated,final_order_date,proposed_penalty,s_and_s,section_of_act,standard,standard_url,violator
114.00 ,000423303,C,8601716  ,Closed,  ,114.00 ,10/1/2016,10/28/2016,12/16/2016 ,114.00,N,104(a),56.14103(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-14103.pdf,Dirt Company
114.00 ,000423303,C,8601712  ,Closed,  ,114.00 ,10/1/2016,10/28/2016,12/16/2016 ,114.00,N,104(a),56.14112(a)(1),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-14112.pdf,Dirt Company
114.00 ,000423303,C,8601714  ,Closed,  ,114.00 ,10/1/2016,10/28/2016,12/16/2016 ,114.00,N,104(a),56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-14132.pdf,Dirt Company
114.00 ,000423303,C,8601713  ,Closed,  ,114.00 ,10/1/2016,10/28/2016,12/16/2016 ,114.00,N,104(a),56.9300(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-9300.pdf,Dirt Company
114.00 ,000423303,C,8601715  ,Closed,  ,114.00 ,10/1/2016,10/28/2016,12/16/2016 ,114.00,N,104(a),56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-14132.pdf,Dirt Company
114.00 ,000416201,C,6356395  ,Closed,  ,114.00 ,6/28/2016,6/30/2016,9/16/2016 ,114.00,N,104(a),56.14112(b),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-14112.pdf,Dirt Company
114.00 ,000416201,C,6356396  ,Closed,  ,114.00 ,6/28/2016,6/28/2016,9/16/2016 ,114.00,N,104(a),56.14132(b)(2),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-14132.pdf,Dirt Company
108.00 ,000390299,C,8601414  ,Closed,  ,108.00 ,7/2/2015,8/25/2015,10/8/2015 ,108.00,Y,104(a),56.11002,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-11002.pdf,Dirt Company
100.00 ,000390299,C,8601413  ,Closed,  ,100.00 ,7/2/2015,8/25/2015,10/8/2015 ,100.00,N,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-14107.pdf,Dirt Company
100.00 ,000390299,C,8601395  ,Closed,  ,100.00 ,7/2/2015,8/25/2015,10/8/2015 ,100.00,N,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-14107.pdf,Dirt Company
100.00 ,000390299,C,8601400  ,Closed,  ,100.00 ,7/2/2015,8/25/2015,10/8/2015 ,100.00,N,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-14107.pdf,Dirt Company
100.00 ,000357404,C,8601402  ,Closed,  ,100.00 ,6/17/2014,6/17/2014,9/3/2014 ,100.00,N,104(a),56.4201(a)(1),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-4201.pdf,Dirt Company
807.00 ,000293537,C,8601228  ,Closed,  ,807.00 ,5/31/2012,5/31/2012,8/9/2012 ,807.00,Y,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14107.pdf,Dirt Company
100.00 ,000293537,C,8601224  ,Closed,  ,100.00 ,5/31/2012,5/31/2012,8/9/2012 ,100.00,N,104(a),56.4201(a)(1),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-4201.pdf,Dirt Company
108.00 ,000293537,C,8601222  ,Closed,  ,108.00 ,5/31/2012,5/31/2012,8/9/2012 ,108.00,Y,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14107.pdf,Dirt Company
243.00 ,000293537,C,8601223  ,Closed,  ,243.00 ,5/31/2012,5/31/2012,8/9/2012 ,243.00,Y,104(a),56.14100(d),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14100.pdf,Dirt Company
108.00 ,000293537,C,8601226  ,Closed,  ,108.00 ,5/31/2012,5/31/2012,8/9/2012 ,108.00,Y,104(a),56.11002,http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-11002.pdf,Dirt Company
108.00 ,000293537,C,8601225  ,Closed,  ,108.00 ,5/31/2012,5/31/2012,8/9/2012 ,108.00,Y,104(a),56.15001,http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-15001.pdf,Dirt Company
100.00 ,000270890,C,8601038  ,Closed,  ,100.00 ,9/8/2011,9/8/2011,12/7/2011 ,100.00,N,104(a),50.30(a),http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec50-30.pdf,Dirt Company
100.00 ,000270890,C,8601037  ,Closed,  ,100.00 ,9/8/2011,9/8/2011,12/7/2011 ,100.00,N,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec56-14107.pdf,Dirt Company
100.00 ,000207313,C,6478923  ,Closed,  ,100.00 ,11/20/2009,11/20/2009,2/6/2010 ,100.00,N,104(a),56.1000,http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec56-1000.pdf,Dirt Company
100.00 ,000207313,C,6478924  ,Closed,  ,100.00 ,11/20/2009,11/20/2009,2/6/2010 ,100.00,N,104(a),41.12,http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec41-12.pdf,Dirt Company
100.00 ,000198763,C,6444512  ,Closed,  ,100.00 ,8/24/2009,9/21/2009,10/30/2010 ,100.00,N,104(a),50.30(a),http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec50-30.pdf,Dirt Company
124.00 ,000041449,C,6358295  ,Closed,  ,124.00 ,8/11/2004,8/26/2004,12/23/2004 ,124.00,Y,104(a),56.14130(a)(1),http://www.gpo.gov/fdsys/pkg/CFR-2004-title30-vol1/pdf/CFR-2004-title30-vol1-sec56-14130.pdf,Dirt Company
60.00 ,000041449,C,6358298  ,Closed,  ,60.00 ,8/11/2004,8/15/2004,12/23/2004 ,60.00,N,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2004-title30-vol1/pdf/CFR-2004-title30-vol1-sec56-14107.pdf,Dirt Company
60.00 ,000041449,C,6358297  ,Closed,  ,60.00 ,8/11/2004,8/12/2004,12/23/2004 ,60.00,N,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2004-title30-vol1/pdf/CFR-2004-title30-vol1-sec56-14107.pdf,Dirt Company
60.00 ,000041449,C,6358299  ,Closed,  ,60.00 ,8/11/2004,8/15/2004,12/23/2004 ,60.00,N,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2004-title30-vol1/pdf/CFR-2004-title30-vol1-sec56-14107.pdf,Dirt Company
101.00 ,000046666,O,6358302  ,Closed,  ,101.00 ,8/11/2004,8/26/2004,2/24/2005 ,101.00,Y,104(g)(1),46.8(a)(1),http://www.gpo.gov/fdsys/pkg/CFR-2004-title30-vol1/pdf/CFR-2004-title30-vol1-sec46-8.pdf,Dirt Company
60.00 ,000041449,C,6358300  ,Closed,  ,60.00 ,8/11/2004,8/15/2004,12/23/2004 ,60.00,N,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2004-title30-vol1/pdf/CFR-2004-title30-vol1-sec56-14107.pdf,Dirt Company
99.00 ,000041449,C,6358301  ,Closed,  ,99.00 ,8/11/2004,8/26/2004,12/23/2004 ,99.00,Y,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2004-title30-vol1/pdf/CFR-2004-title30-vol1-sec56-14107.pdf,Dirt Company
124.00 ,000041449,C,6358296  ,Closed,  ,124.00 ,8/11/2004,8/12/2004,12/23/2004 ,124.00,Y,104(a),56.12032,http://www.gpo.gov/fdsys/pkg/CFR-2004-title30-vol1/pdf/CFR-2004-title30-vol1-sec56-12032.pdf,Dirt Company
