amount_paid,case_no,citation,citation_no,citation_status,contract_id,current_penalty,date_issues,date_terminated,final_order_date,proposed_penalty,s_and_s,section_of_act,standard,standard_url,violator
116.00 ,000453710,C,9365983  ,Closed,  ,116.00 ,10/18/2017,10/18/2017,1/14/2018 ,116.00,N,104(a),56.12004,http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-12004.pdf,SIMPSON DIRTWORX LLC
116.00 ,000453710,C,9365984  ,Closed,  ,116.00 ,10/18/2017,10/18/2017,1/14/2018 ,116.00,N,104(a),56.12025,http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-12025.pdf,SIMPSON DIRTWORX LLC
116.00 ,000453710,C,9365985  ,Closed,  ,116.00 ,10/18/2017,10/18/2017,1/14/2018 ,116.00,N,104(a),46.9(a),http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec46-9.pdf,SIMPSON DIRTWORX LLC
116.00 ,000453710,C,9365982  ,Closed,  ,116.00 ,10/18/2017,10/18/2017,1/14/2018 ,116.00,N,104(a),56.12032,http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-12032.pdf,SIMPSON DIRTWORX LLC
280.00 ,000447415,C,9362434  ,Closed,  ,280.00 ,7/16/2017,7/19/2017,10/15/2017 ,280.00,Y,104(a),56.12030,http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-12030.pdf,SIMPSON DIRTWORX LLC
280.00 ,000447415,C,9362435  ,Closed,  ,280.00 ,7/16/2017,8/3/2017,10/15/2017 ,280.00,Y,104(a),56.12028,http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-12028.pdf,SIMPSON DIRTWORX LLC
114.00 ,000427976,C,9311179  ,Closed,  ,114.00 ,11/30/2016,12/1/2016,3/10/2017 ,114.00,N,104(a),56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-14132.pdf,SIMPSON DIRTWORX LLC
114.00 ,000427976,C,9311178  ,Closed,  ,114.00 ,11/30/2016,12/1/2016,3/10/2017 ,114.00,N,104(a),56.4101,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-4101.pdf,SIMPSON DIRTWORX LLC
114.00 ,000427976,C,9311177  ,Closed,  ,114.00 ,11/30/2016,12/1/2016,3/10/2017 ,114.00,N,104(a),56.12032,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-12032.pdf,SIMPSON DIRTWORX LLC
114.00 ,000427976,C,9311180  ,Closed,  ,114.00 ,11/30/2016,12/1/2016,3/10/2017 ,114.00,N,104(a),56.18002(b),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-18002.pdf,SIMPSON DIRTWORX LLC
100.00 ,000411970,C,8924447  ,Closed,  ,100.00 ,4/26/2016,4/26/2016,7/17/2016 ,100.00,N,104(a),56.12004,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-12004.pdf,SIMPSON DIRTWORX LLC
100.00 ,000411970,C,8924450  ,Closed,  ,100.00 ,4/26/2016,5/5/2016,7/17/2016 ,100.00,N,104(a),56.12028,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-12028.pdf,SIMPSON DIRTWORX LLC
100.00 ,000411970,C,8924449  ,Closed,  ,100.00 ,4/26/2016,4/26/2016,7/17/2016 ,100.00,N,104(a),56.14112(b),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-14112.pdf,SIMPSON DIRTWORX LLC
100.00 ,000411970,C,8924448  ,Closed,  ,100.00 ,4/26/2016,4/26/2016,7/17/2016 ,100.00,N,104(a),56.12032,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-12032.pdf,SIMPSON DIRTWORX LLC
