amount_paid,case_no,citation,citation_no,citation_status,contract_id,current_penalty,date_issues,date_terminated,final_order_date,proposed_penalty,s_and_s,section_of_act,standard,standard_url,violator
100.00 ,000374480,C,8778046  ,Closed,  ,100.00 ,10/14/2014,10/14/2014,3/27/2015 ,100.00,N,104(a),56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14132.pdf,Dirt Works
162.00 ,000374480,C,8778047  ,Closed,  ,162.00 ,10/14/2014,11/4/2014,3/27/2015 ,162.00,N,104(a),56.18010,http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-18010.pdf,Dirt Works
243.00 ,000345454,C,8771782  ,Closed,  ,243.00 ,1/22/2014,1/22/2014,4/20/2014 ,243.00,Y,104(a),56.9300(a),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-9300.pdf,Dirt Works
100.00 ,000348280,C,8771781  ,Closed,  ,100.00 ,1/22/2014,1/22/2014,5/21/2014 ,100.00,N,104(a),56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14100.pdf,Dirt Works
243.00 ,000345454,C,8771783  ,Closed,  ,243.00 ,1/22/2014,1/22/2014,4/20/2014 ,243.00,Y,104(a),56.9300(a),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-9300.pdf,Dirt Works
100.00 ,000345454,C,8771784  ,Closed,  ,100.00 ,1/22/2014,1/22/2014,4/20/2014 ,100.00,N,104(a),50.30(a),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec50-30.pdf,Dirt Works
100.00 ,000316329,C,8688404  ,Closed,  ,100.00 ,1/29/2013,1/29/2013,4/19/2013 ,100.00,N,104(a),50.30(a),http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec50-30.pdf,Dirt Works
100.00 ,000316329,C,8681997  ,Closed,  ,100.00 ,1/28/2013,2/1/2013,4/19/2013 ,100.00,N,104(a),47.31(a),http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec47-31.pdf,Dirt Works
100.00 ,000316329,C,8681996  ,Closed,  ,100.00 ,1/28/2013,2/1/2013,4/19/2013 ,100.00,N,104(a),56.12028,http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec56-12028.pdf,Dirt Works
100.00 ,000316329,C,8681998  ,Closed,  ,100.00 ,1/28/2013,2/1/2013,4/19/2013 ,100.00,Y,104(a),56.9300(a),http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec56-9300.pdf,Dirt Works
162.00 ,000316329,C,8681995  ,Closed,  ,162.00 ,1/28/2013,2/1/2013,4/19/2013 ,162.00,N,104(a),56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec56-14132.pdf,Dirt Works
112.00 ,000303884,O,6315027  ,Closed,  ,112.00 ,8/23/2012,9/10/2012,11/22/2012 ,112.00,N,104(g)(1),46.8(a)(2),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec46-8.pdf,Dirt Works
100.00 ,000246930,C,6576572  ,Closed,  ,100.00 ,12/13/2010,1/3/2011,3/23/2011 ,100.00,N,104(a),56.18013,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-18013.pdf,Dirt Works
100.00 ,000246930,C,6576571  ,Closed,  ,100.00 ,12/13/2010,12/13/2010,3/23/2011 ,100.00,N,104(a),56.9300(b),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-9300.pdf,Dirt Works
243.00 ,000246930,C,6576574  ,Closed,  ,243.00 ,12/13/2010,1/3/2011,3/23/2011 ,243.00,Y,104(a),56.15001,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-15001.pdf,Dirt Works
100.00 ,000246930,C,6576573  ,Closed,  ,100.00 ,12/13/2010,1/3/2011,3/23/2011 ,100.00,N,104(a),56.20002(b),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-20002.pdf,Dirt Works
100.00 ,000206354,C,6466145  ,Closed,  ,100.00 ,11/3/2009,11/3/2009,1/20/2010 ,100.00,N,104(a),41.12,http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec41-12.pdf,Dirt Works
100.00 ,000206354,C,6466144  ,Closed,  ,100.00 ,11/3/2009,11/3/2009,1/20/2010 ,100.00,Y,104(a),56.9300(a),http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec56-9300.pdf,Dirt Works
