amount_paid,case_no,citation,citation_no,citation_status,contract_id,current_penalty,date_issues,date_terminated,final_order_date,proposed_penalty,s_and_s,section_of_act,standard,standard_url,violator
0.00 ,000422613,C,8946233  ,Delinquent,  ,124.00 ,8/31/2016,8/31/2016,11/25/2016 ,124.00,Y,104(a),56.18002(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-18002.pdf,Dirt Doctor Inc
0.00 ,000422613,C,8946232  ,Delinquent,  ,114.00 ,8/31/2016,9/7/2016,11/25/2016 ,114.00,N,104(a),56.12018,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-12018.pdf,Dirt Doctor Inc
0.00 ,000422613,C,8946234  ,Delinquent,  ,114.00 ,8/31/2016,9/13/2016,11/25/2016 ,114.00,N,104(a),56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-14132.pdf,Dirt Doctor Inc
0.00 ,000422613,C,8946224  ,Delinquent,  ,114.00 ,8/24/2016,9/7/2016,11/25/2016 ,114.00,N,104(a),56.12004,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-12004.pdf,Dirt Doctor Inc
0.00 ,000422613,C,8946226  ,Delinquent,  ,276.00 ,8/24/2016,8/24/2016,11/25/2016 ,276.00,Y,104(a),56.14100(c),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-14100.pdf,Dirt Doctor Inc
0.00 ,000422613,C,8946219  ,Delinquent,  ,276.00 ,8/24/2016,8/31/2016,11/25/2016 ,276.00,Y,104(a),56.14112(b),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-14112.pdf,Dirt Doctor Inc
0.00 ,000422613,C,8946217  ,Delinquent,  ,114.00 ,8/24/2016,8/31/2016,11/25/2016 ,114.00,N,104(a),56.20003(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-20003.pdf,Dirt Doctor Inc
0.00 ,000422613,C,8946223  ,Delinquent,  ,114.00 ,8/24/2016,8/31/2016,11/25/2016 ,114.00,N,104(a),46.9(c)(3),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec46-9.pdf,Dirt Doctor Inc
0.00 ,000422613,C,8946225  ,Delinquent,  ,124.00 ,8/24/2016,9/7/2016,11/25/2016 ,124.00,Y,104(a),56.9300(b),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-9300.pdf,Dirt Doctor Inc
0.00 ,000422613,C,8946220  ,Delinquent,  ,276.00 ,8/24/2016,9/7/2016,11/25/2016 ,276.00,Y,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-14107.pdf,Dirt Doctor Inc
0.00 ,000422613,O,8946218  ,Delinquent,  ,307.00 ,8/24/2016,8/24/2016,11/25/2016 ,307.00,Y,104(g)(1),46.5(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec46-5.pdf,Dirt Doctor Inc
